"moad;x","68146860967f5cfefe3bce64","allie","612958d26962f50001ae89d2","68f30f808fd8a0bd77d55894","2025-10-18 00:00"
"pasycat粉丝","6825e5c37465249750d5a93f","uma","64f2dc78d650255f6568f7b2","68f339cc8fd8a0bd77d56630","2025-10-18 03:02"
"pasycat粉丝","6825e5c37465249750d5a93f","Lofty","5aa426e6afad0f7de4936eda","68f33bcb7daed786e5ae63a2","2025-10-18 03:06"
"どついたるねん","64ba59fa5e29f358854d344f","Pasord","6669c659ca16186b5a3dbc35","68f33c054127defe32a0784b","2025-10-18 03:06"
"どついたるねん","64ba59fa5e29f358854d344f","Pasord","6669c659ca16186b5a3dbc35","68f33c8c7daed786e5ae63d1","2025-10-18 03:08"
"Norbert","61b40084a8414400018d958a","🐈","6855405273045641271196c9","68f33bfc7daed786e5ae63af","2025-10-18 03:10"
"どついたるねん","64ba59fa5e29f358854d344f","SentyRu (YouTube/Twitch)","65dc836b33066622c3ebfb88","68f33d3f4127defe32a078c6","2025-10-18 03:12"
"pasycat粉丝","6825e5c37465249750d5a93f","uma","64f2dc78d650255f6568f7b2","68f33c868fd8a0bd77d56713","2025-10-18 03:14"
"🐈","6855405273045641271196c9","Norbert","61b40084a8414400018d958a","68f33d7e8fd8a0bd77d56775","2025-10-18 03:16"
"Lofty","5aa426e6afad0f7de4936eda","睡","68063ef87827d2d6e685a3dc","68f33d057daed786e5ae63eb","2025-10-18 03:16"
"pasycat粉丝","6825e5c37465249750d5a93f","Norbert","61b40084a8414400018d958a","68f33eb17daed786e5ae6459","2025-10-18 03:21"
"Zeenax","6562c00be8702264ef91bea2","Salem","63af4615494c2bc27e4a2f31","68f33f464127defe32a079af","2025-10-18 03:22"
"🐈","6855405273045641271196c9","Smaguy","5e792106d51dd6297c9bd842","68f33ece7daed786e5ae645e","2025-10-18 03:24"
"uma","64f2dc78d650255f6568f7b2","Lofty","5aa426e6afad0f7de4936eda","68f33f257daed786e5ae646f","2025-10-18 03:26"
"Norbert","61b40084a8414400018d958a","pasycat粉丝","6825e5c37465249750d5a93f","68f34012a16ffde8aaca4325","2025-10-18 03:26"
"🐈","6855405273045641271196c9","Smaguy","5e792106d51dd6297c9bd842","68f340d78fd8a0bd77d568a9","2025-10-18 03:29"
"Norbert","61b40084a8414400018d958a","pasycat粉丝","6825e5c37465249750d5a93f","68f341328fd8a0bd77d568d3","2025-10-18 03:33"
"Zeenax","6562c00be8702264ef91bea2","Lofty","5aa426e6afad0f7de4936eda","68f341778fd8a0bd77d568ee","2025-10-18 03:35"
"Smaguy","5e792106d51dd6297c9bd842","🐈","6855405273045641271196c9","68f341e18fd8a0bd77d56917","2025-10-18 03:37"
"Zeenax","6562c00be8702264ef91bea2","pasycat粉丝","6825e5c37465249750d5a93f","68f343717daed786e5ae65c4","2025-10-18 03:39"
"uma","64f2dc78d650255f6568f7b2","Norbert","61b40084a8414400018d958a","68f342c57daed786e5ae6593","2025-10-18 03:41"
"pasycat粉丝","6825e5c37465249750d5a93f","Zeenax","6562c00be8702264ef91bea2","68f344654127defe32a07bc2","2025-10-18 03:42"
"どついたるねん","64ba59fa5e29f358854d344f","Scrypero","5f8853fbe3af6900017b2173","68f344654127defe32a07bc3","2025-10-18 03:43"
"Henrik","5ffda066ad68a300017a45e1","kstyko","5ead136297d6cf24a42b1ef4","68f3437f7daed786e5ae65c9","2025-10-18 03:43"
"Smaguy","5e792106d51dd6297c9bd842","🐈","6855405273045641271196c9","68f343ea8fd8a0bd77d569d1","2025-10-18 03:44"
"Zeenax","6562c00be8702264ef91bea2","Norbert","61b40084a8414400018d958a","68f344f94127defe32a07c12","2025-10-18 03:47"
"pasycat粉丝","6825e5c37465249750d5a93f","uma","64f2dc78d650255f6568f7b2","68f345394127defe32a07c2a","2025-10-18 03:48"
"Freedom","65a2efda5b3d0a0d04c2a4b0","どついたるねん","64ba59fa5e29f358854d344f","68f345224127defe32a07c1f","2025-10-18 03:48"
"Norbert","61b40084a8414400018d958a","pasycat粉丝","6825e5c37465249750d5a93f","68f3463e7daed786e5ae6695","2025-10-18 03:51"
"どついたるねん","64ba59fa5e29f358854d344f","Freedom","65a2efda5b3d0a0d04c2a4b0","68f346498fd8a0bd77d56abf","2025-10-18 03:52"
"Henrik","5ffda066ad68a300017a45e1","[TNT] jv724 α","5d50f46b24ec173888d7e22e","68f3458da16ffde8aaca4368","2025-10-18 03:52"
"uma","64f2dc78d650255f6568f7b2","Lofty","5aa426e6afad0f7de4936eda","68f346aa7daed786e5ae66b3","2025-10-18 03:55"
"pasycat粉丝","6825e5c37465249750d5a93f","gnrr","63b6a120ed1bf0b1b513dfb8","68f347187daed786e5ae66d9","2025-10-18 03:55"
"Smaguy","5e792106d51dd6297c9bd842","🐈","6855405273045641271196c9","68f345768fd8a0bd77d56a61","2025-10-18 03:56"
"どついたるねん","64ba59fa5e29f358854d344f","Freedom","65a2efda5b3d0a0d04c2a4b0","68f347454127defe32a07d10","2025-10-18 03:57"
"Maxøuuu","5e96e2d4d502e1540cbc5774","Rockmelon","5fee6976892bf00001ab04fc","68f3479c8fd8a0bd77d56b54","2025-10-18 03:58"
"gnrr","63b6a120ed1bf0b1b513dfb8","Lofty","5aa426e6afad0f7de4936eda","68f3482d8fd8a0bd77d56b8c","2025-10-18 04:01"
"Freedom","65a2efda5b3d0a0d04c2a4b0","🐈","6855405273045641271196c9","68f348538fd8a0bd77d56b9c","2025-10-18 04:01"
"pasycat粉丝","6825e5c37465249750d5a93f","uma","64f2dc78d650255f6568f7b2","68f348928fd8a0bd77d56bb6","2025-10-18 04:04"
"Maxøuuu","5e96e2d4d502e1540cbc5774","どついたるねん","64ba59fa5e29f358854d344f","68f349264127defe32a07df7","2025-10-18 04:07"
"gnrr","63b6a120ed1bf0b1b513dfb8","Lofty","5aa426e6afad0f7de4936eda","68f3495ba16ffde8aaca43aa","2025-10-18 04:07"
"Freedom","65a2efda5b3d0a0d04c2a4b0","🐈","6855405273045641271196c9","68f349538fd8a0bd77d56c02","2025-10-18 04:09"
"pasycat粉丝","6825e5c37465249750d5a93f","Apfeloxid","5ca1f7fb37eff28bf8216840","68f34a454127defe32a07e66","2025-10-18 04:11"
"🐈","6855405273045641271196c9","どついたるねん","64ba59fa5e29f358854d344f","68f34b294127defe32a07efb","2025-10-18 04:11"
"Maxøuuu","5e96e2d4d502e1540cbc5774","Freedom","65a2efda5b3d0a0d04c2a4b0","68f34b334127defe32a07f02","2025-10-18 04:13"
"🐈","6855405273045641271196c9","どついたるねん","64ba59fa5e29f358854d344f","68f34bed8fd8a0bd77d56d3f","2025-10-18 04:15"
"gnrr","63b6a120ed1bf0b1b513dfb8","uma","64f2dc78d650255f6568f7b2","68f34ac14127defe32a07eae","2025-10-18 04:16"
"Freedom","65a2efda5b3d0a0d04c2a4b0","Henrik","5ffda066ad68a300017a45e1","68f34c198fd8a0bd77d56d53","2025-10-18 04:17"
"pisanico","5e59788312777c09acb5f77f","Apfeloxid","5ca1f7fb37eff28bf8216840","68f34bf64127defe32a07f5b","2025-10-18 04:19"
"どついたるねん","64ba59fa5e29f358854d344f","🐈","6855405273045641271196c9","68f34cad4127defe32a07fd0","2025-10-18 04:19"
"gnrr","63b6a120ed1bf0b1b513dfb8","pasycat粉丝","6825e5c37465249750d5a93f","68f34cfea16ffde8aaca43df","2025-10-18 04:21"
"Maxøuuu","5e96e2d4d502e1540cbc5774","Freedom","65a2efda5b3d0a0d04c2a4b0","68f34d274127defe32a0800f","2025-10-18 04:21"
"🐈","6855405273045641271196c9","どついたるねん","64ba59fa5e29f358854d344f","68f34da28fd8a0bd77d56e0d","2025-10-18 04:21"
"Dimsum","63f619f14068eb7d4bbb134d","nauj","6146af3a7b19390001c3a181","68f34d228fd8a0bd77d56dd8","2025-10-18 04:21"
"HeyGuys!WeHaveAGiftForYou!","64da2edded0ce01ab055723e","wafflyss","6068a918d8694000010952a2","68f34d967daed786e5ae6915","2025-10-18 04:26"
"🐈","6855405273045641271196c9","どついたるねん","64ba59fa5e29f358854d344f","68f34e248fd8a0bd77d56e4a","2025-10-18 04:26"
"Freedom","65a2efda5b3d0a0d04c2a4b0","Pan_Pingwin","6874db1c4c43e0efcc0bc838","68f34e024127defe32a0808b","2025-10-18 04:26"
"gnrr","63b6a120ed1bf0b1b513dfb8","pasycat粉丝","6825e5c37465249750d5a93f","68f34df38fd8a0bd77d56e33","2025-10-18 04:27"
"🐈","6855405273045641271196c9","どついたるねん","64ba59fa5e29f358854d344f","68f34f3d7daed786e5ae699b","2025-10-18 04:32"
"Freedom","65a2efda5b3d0a0d04c2a4b0","Pan_Pingwin","6874db1c4c43e0efcc0bc838","68f34f334127defe32a08134","2025-10-18 04:32"
"pisanico","5e59788312777c09acb5f77f","uma","64f2dc78d650255f6568f7b2","68f34da38fd8a0bd77d56e0e","2025-10-18 04:33"
"gnrr","63b6a120ed1bf0b1b513dfb8","wafflyss","6068a918d8694000010952a2","68f34fc98fd8a0bd77d56f2e","2025-10-18 04:34"
"Pan_Pingwin","6874db1c4c43e0efcc0bc838","Scrypero","5f8853fbe3af6900017b2173","68f350ae4127defe32a08211","2025-10-18 04:35"
"pasycat粉丝","6825e5c37465249750d5a93f","🐈","6855405273045641271196c9","68f350d34127defe32a0821c","2025-10-18 04:36"
"mye","67d41e251c311713fa31dd60","Lofty","5aa426e6afad0f7de4936eda","68f351d94127defe32a082ac","2025-10-18 04:42"
"gnrr","63b6a120ed1bf0b1b513dfb8","uma","64f2dc78d650255f6568f7b2","68f3512b8fd8a0bd77d56fd3","2025-10-18 04:45"
"Ẩm Thực Trung Hoa","63bfe3658765ff1ce1c4ceb8","pasycat粉丝","6825e5c37465249750d5a93f","68f35280d19f056ff5d26aa0","2025-10-18 04:46"
"Pan_Pingwin","6874db1c4c43e0efcc0bc838","Jayyko","6094bb9b9796420001f81532","68f35355a16ffde8aaca4451","2025-10-18 04:46"
"Salem","63af4615494c2bc27e4a2f31","gokhale","68257ab1be5b31c617f37156","68f353f68fd8a0bd77d57122","2025-10-18 04:48"
"gnrr","63b6a120ed1bf0b1b513dfb8","pisanico","5e59788312777c09acb5f77f","68f353b34127defe32a083b3","2025-10-18 04:49"
"Pan_Pingwin","6874db1c4c43e0efcc0bc838","Jayyko","6094bb9b9796420001f81532","68f353f94127defe32a083e3","2025-10-18 04:51"
"irrational","65ba97ce8b2ba0c747ffa3b7","Waluuuuuuu","6380cc417b431c1eece4916c","68f350978fd8a0bd77d56f8a","2025-10-18 04:52"
"Ẩm Thực Trung Hoa","63bfe3658765ff1ce1c4ceb8","CheeseByTheFall","62c27d4c8b4554410dd86365","68f354884127defe32a0843d","2025-10-18 04:54"
"we dont need no water","61cdfc02f6470200011a0caa","Ẩm Thực Trung Hoa","63bfe3658765ff1ce1c4ceb8","68f354b27daed786e5ae6ba6","2025-10-18 04:55"
"uma","64f2dc78d650255f6568f7b2","pasycat粉丝","6825e5c37465249750d5a93f","68f353f38fd8a0bd77d5711f","2025-10-18 04:55"
"aero","6204e99c582e1f0001bd9a43","K4CP3RSKI777","624aa4216b4b8b1765bb6dad","68f354907daed786e5ae6b94","2025-10-18 04:56"
"Lubec","5e974c906ea510372c1e444a","pasycat粉丝","6825e5c37465249750d5a93f","68f356038fd8a0bd77d57237","2025-10-18 04:57"
"CheeseByTheFall","62c27d4c8b4554410dd86365","gokhale","68257ab1be5b31c617f37156","68f355c14127defe32a08503","2025-10-18 04:58"
"gnrr","63b6a120ed1bf0b1b513dfb8","pisanico","5e59788312777c09acb5f77f","68f354da4127defe32a08476","2025-10-18 05:00"
"🐈","6855405273045641271196c9","K4CP3RSKI777","624aa4216b4b8b1765bb6dad","68f356517daed786e5ae6c4f","2025-10-18 05:01"
"we dont need no water","61cdfc02f6470200011a0caa","Ẩm Thực Trung Hoa","63bfe3658765ff1ce1c4ceb8","68f355ec8fd8a0bd77d5722c","2025-10-18 05:02"
"Pan_Pingwin","6874db1c4c43e0efcc0bc838","Waluuuuuuu","6380cc417b431c1eece4916c","68f3569c4127defe32a0858a","2025-10-18 05:02"
"Moritz","604e275b66c3940001ee30ed","MANGER","6785046bef2c357f0bdfd387","68f356b47daed786e5ae6c80","2025-10-18 05:03"
"Arise","663523ba8e313d3aa27852b0","gnrr","63b6a120ed1bf0b1b513dfb8","68f357394127defe32a085e8","2025-10-18 05:04"
"🐈","6855405273045641271196c9","Waluuuuuuu","6380cc417b431c1eece4916c","68f357daa16ffde8aaca44b4","2025-10-18 05:05"
"pasycat粉丝","6825e5c37465249750d5a93f","gokhale","68257ab1be5b31c617f37156","68f356b37daed786e5ae6c7f","2025-10-18 05:06"
"Pan_Pingwin","6874db1c4c43e0efcc0bc838","Pajabol","64724edfca1d938dc1416b4a","68f357948fd8a0bd77d572ff","2025-10-18 05:06"
"trulybuzzy","5fb20f55d3f912000124d619","K4CP3RSKI777","624aa4216b4b8b1765bb6dad","68f357854127defe32a0860e","2025-10-18 05:08"
"we dont need no water","61cdfc02f6470200011a0caa","Ẩm Thực Trung Hoa","63bfe3658765ff1ce1c4ceb8","68f3578ba16ffde8aaca44b0","2025-10-18 05:09"
"irrational","65ba97ce8b2ba0c747ffa3b7","4unii278","662b0b98912a1b9585fa3392","68f3573b7daed786e5ae6cc4","2025-10-18 05:11"
"gokhale","68257ab1be5b31c617f37156","🐈","6855405273045641271196c9","68f3587c4127defe32a086ab","2025-10-18 05:12"
"K4CP3RSKI777","624aa4216b4b8b1765bb6dad","Pan_Pingwin","6874db1c4c43e0efcc0bc838","68f359098fd8a0bd77d573c9","2025-10-18 05:12"
"Moritz","604e275b66c3940001ee30ed","Waluuuuuuu","6380cc417b431c1eece4916c","68f358407daed786e5ae6d3f","2025-10-18 05:12"
"Lubec","5e974c906ea510372c1e444a","pasycat粉丝","6825e5c37465249750d5a93f","68f358d48fd8a0bd77d573a9","2025-10-18 05:13"
"gnrr","63b6a120ed1bf0b1b513dfb8","szalek","5c44872c98004ebb38580ff7","68f358738fd8a0bd77d57373","2025-10-18 05:13"
"gokhale","68257ab1be5b31c617f37156","Pan_Pingwin","6874db1c4c43e0efcc0bc838","68f35a1b4127defe32a087bb","2025-10-18 05:15"
"trulybuzzy","5fb20f55d3f912000124d619","Ẩm Thực Trung Hoa","63bfe3658765ff1ce1c4ceb8","68f359997daed786e5ae6dd2","2025-10-18 05:16"
"trulybuzzy","5fb20f55d3f912000124d619","Ẩm Thực Trung Hoa","63bfe3658765ff1ce1c4ceb8","68f359997daed786e5ae6dd2","2025-10-18 05:17"
"GN4","67d326a6925ad8cc505d0c02","Moritz","604e275b66c3940001ee30ed","68f359e88fd8a0bd77d57455","2025-10-18 05:18"
"Pan_Pingwin","6874db1c4c43e0efcc0bc838","𝓝ø𝓽𝓖̶𝓻̶𝓪̶𝓽̶𝓪̶","6482336ba215275c175e9070","68f35ac38fd8a0bd77d574c4","2025-10-18 05:18"
"pasycat粉丝","6825e5c37465249750d5a93f","🐈","6855405273045641271196c9","68f35a447daed786e5ae6e2e","2025-10-18 05:19"
"🐈","6855405273045641271196c9","pasycat粉丝","6825e5c37465249750d5a93f","68f35bd54127defe32a088d2","2025-10-18 05:22"
"uma","64f2dc78d650255f6568f7b2","Lubec","5e974c906ea510372c1e444a","68f35a6f7daed786e5ae6e40","2025-10-18 05:23"
"wafflyss","6068a918d8694000010952a2","Ẩm Thực Trung Hoa","63bfe3658765ff1ce1c4ceb8","68f35b4b7daed786e5ae6eb4","2025-10-18 05:24"
"Pan_Pingwin","6874db1c4c43e0efcc0bc838","sparqkle","67af33931b7ca29477ec0276","68f35b5ed19f056ff5d26ab7","2025-10-18 05:24"
"trulybuzzy","5fb20f55d3f912000124d619","Zeenax","6562c00be8702264ef91bea2","68f35baa4127defe32a088bd","2025-10-18 05:25"
"🐈","6855405273045641271196c9","pasycat粉丝","6825e5c37465249750d5a93f","68f35c918fd8a0bd77d575cf","2025-10-18 05:26"
"Pan_Pingwin","6874db1c4c43e0efcc0bc838","GeoMalick","61fd64f28c0f8100014ebf0b","68f35d744127defe32a08a01","2025-10-18 05:29"
"Lubec","5e974c906ea510372c1e444a","wafflyss","6068a918d8694000010952a2","68f35d1e4127defe32a089c8","2025-10-18 05:32"
"🐈","6855405273045641271196c9","RheinGeo (RHG)","61f983ae89e0610001619fa0","68f35ddc7daed786e5ae6feb","2025-10-18 05:32"
"Pan_Pingwin","6874db1c4c43e0efcc0bc838","Abbin","663cf56b43111c18760a380c","68f35e2c4127defe32a08a88","2025-10-18 05:33"
"Moritz","604e275b66c3940001ee30ed","Waluuuuuuu","6380cc417b431c1eece4916c","68f35cf54127defe32a089a9","2025-10-18 05:33"
"Zeenax","6562c00be8702264ef91bea2","trulybuzzy","5fb20f55d3f912000124d619","68f35d487daed786e5ae6fae","2025-10-18 05:34"
"pasycat粉丝","6825e5c37465249750d5a93f","Arise","663523ba8e313d3aa27852b0","68f35e6e8fd8a0bd77d576de","2025-10-18 05:36"
"wafflyss","6068a918d8694000010952a2","Lubec","5e974c906ea510372c1e444a","68f35efb7daed786e5ae706d","2025-10-18 05:37"
"Moritz","604e275b66c3940001ee30ed","Waluuuuuuu","6380cc417b431c1eece4916c","68f35ee94127defe32a08b0e","2025-10-18 05:39"
"Pan_Pingwin","6874db1c4c43e0efcc0bc838","Kubek!_","63c56996754dafb086b2123f","68f35fc74127defe32a08bb0","2025-10-18 05:41"
"pasycat粉丝","6825e5c37465249750d5a93f","ken","633f713b8c050fa35270d9e6","68f35faa4127defe32a08b98","2025-10-18 05:43"
"Pan_Pingwin","6874db1c4c43e0efcc0bc838","Kubek!_","63c56996754dafb086b2123f","68f360d8cfb3f3d591df271e","2025-10-18 05:43"
"Moritz","604e275b66c3940001ee30ed","Waluuuuuuu","6380cc417b431c1eece4916c","68f360768fd8a0bd77d57822","2025-10-18 05:43"
"wafflyss","6068a918d8694000010952a2","Lubec","5e974c906ea510372c1e444a","68f35ffd8fd8a0bd77d577d3","2025-10-18 05:46"
